timestamp,epoch,batch,loss
2025-08-01 14:57:57,7,1900,0.2317
2025-08-01 14:58:05,7,2000,0.2303
2025-08-01 14:58:13,7,2100,0.23
2025-08-01 14:58:21,7,2200,0.2292
2025-08-01 14:58:29,7,2300,0.2289
2025-08-01 14:58:37,7,2400,0.228
2025-08-01 14:58:45,7,2500,0.2281
2025-08-01 14:58:53,8,100,0.2267
2025-08-01 14:59:01,8,200,0.2262
2025-08-01 14:59:09,8,300,0.2267
2025-08-01 14:59:17,8,400,0.2263
2025-08-01 14:59:25,8,500,0.225
2025-08-01 14:59:33,8,600,0.2242
2025-08-01 14:59:41,8,700,0.2239
2025-08-01 14:59:49,8,800,0.2229
2025-08-01 14:59:57,8,900,0.2231
2025-08-01 15:00:05,8,1000,0.2216
2025-08-01 15:00:13,8,1100,0.222
2025-08-01 15:00:21,8,1200,0.222
2025-08-01 15:00:28,8,1300,0.2214
2025-08-01 15:00:36,8,1400,0.2216
2025-08-01 15:00:44,8,1500,0.2198
2025-08-01 15:00:52,8,1600,0.2194
2025-08-01 15:01:00,8,1700,0.2193
2025-08-01 15:01:08,8,1800,0.2185
2025-08-01 15:01:16,8,1900,0.2243
2025-08-01 15:01:24,8,2000,0.2273
2025-08-01 15:01:32,8,2100,0.2199
2025-08-01 15:01:40,8,2200,0.2181
2025-08-01 15:01:48,8,2300,0.2178
2025-08-01 15:01:56,8,2400,0.2162
2025-08-01 15:02:04,8,2500,0.2158
2025-08-01 15:02:12,9,100,0.2156
2025-08-01 15:02:20,9,200,0.216
2025-08-01 15:02:28,9,300,0.2158
2025-08-01 15:02:36,9,400,0.2153
2025-08-01 15:02:44,9,500,0.2159
2025-08-01 15:02:51,9,600,0.2143
2025-08-01 15:02:59,9,700,0.2144
2025-08-01 15:03:07,9,800,0.2147
2025-08-01 15:03:15,9,900,0.214
2025-08-01 15:03:23,9,1000,0.2132
2025-08-01 15:03:31,9,1100,0.2135
2025-08-01 15:03:39,9,1200,0.2309
2025-08-01 15:03:47,9,1300,0.2167
2025-08-01 15:03:55,9,1400,0.2138
2025-08-01 15:04:03,9,1500,0.2117
2025-08-01 15:04:11,9,1600,0.209
2025-08-01 15:04:19,9,1700,0.2089
